127.0.0.1 - - [08/Jul/2020:14:34:35 +0200] "GET / HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [08/Jul/2020:14:34:39 +0200] "GET /SocialNetwork/ HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [08/Jul/2020:14:34:59 +0200] "POST /SocialNetwork/login.action;jsessionid=E296859BB13E192F9FCEAEBAAD5FBBDE HTTP/1.1" 200 1241
0:0:0:0:0:0:0:1 - - [08/Jul/2020:14:35:10 +0200] "POST /SocialNetwork/login.action HTTP/1.1" 200 1239
0:0:0:0:0:0:0:1 - - [08/Jul/2020:14:35:12 +0200] "GET /SocialNetwork/register.jsp HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [08/Jul/2020:14:35:24 +0200] "POST /SocialNetwork/register.action HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [08/Jul/2020:14:35:32 +0200] "POST /SocialNetwork/addFrind HTTP/1.1" 404 1237
0:0:0:0:0:0:0:1 - - [08/Jul/2020:14:36:22 +0200] "POST /SocialNetwork/addFrind HTTP/1.1" 404 1237
0:0:0:0:0:0:0:1 - - [08/Jul/2020:14:36:46 +0200] "GET /SocialNetwork/ HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [08/Jul/2020:14:36:49 +0200] "GET /SocialNetwork/register.jsp HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [08/Jul/2020:14:36:55 +0200] "POST /SocialNetwork/register.action HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [08/Jul/2020:14:36:59 +0200] "POST /SocialNetwork/addFriend.action HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [08/Jul/2020:14:37:05 +0200] "POST /SocialNetwork/addFriend.action HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [08/Jul/2020:14:37:11 +0200] "POST /SocialNetwork/addFriend.action HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [08/Jul/2020:14:37:51 +0200] "POST /SocialNetwork/addFriend.action HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [08/Jul/2020:14:37:55 +0200] "POST /SocialNetwork/addFriend.action HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [08/Jul/2020:17:44:40 +0200] "GET /SocialNetwork/ HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [08/Jul/2020:17:44:43 +0200] "GET /SocialNetwork/register.jsp HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [08/Jul/2020:17:44:48 +0200] "POST /SocialNetwork/register.action HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [08/Jul/2020:17:44:55 +0200] "POST /SocialNetwork/addFriend.action HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [08/Jul/2020:17:44:59 +0200] "POST /SocialNetwork/addFriend.action HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [08/Jul/2020:17:45:06 +0200] "POST /SocialNetwork/addFriend.action HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [08/Jul/2020:17:45:11 +0200] "POST /SocialNetwork/addFriend.action HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [08/Jul/2020:17:47:44 +0200] "GET /SocialNetwork/ HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [08/Jul/2020:17:47:48 +0200] "GET /SocialNetwork/register.jsp HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [08/Jul/2020:17:47:54 +0200] "POST /SocialNetwork/register.action HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [08/Jul/2020:17:48:05 +0200] "POST /SocialNetwork/addFriend.action HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [08/Jul/2020:17:48:45 +0200] "POST /SocialNetwork/addFriend.action HTTP/1.1" 200 768
